map,scenid,total,20move,total-src,20move-src,distance,path_size,hLevel
den005d,136,1019,603,1735,938,55.5563,52,1
den005d,137,1167,626,1404,657,54.6274,49,1
den005d,138,785,569,1283,826,53.2132,48,1
den005d,139,940,416,1141,540,52.4558,46,1
den005d,140,1353,528,1728,773,59.8701,53,1
den005d,141,585,280,1364,577,56.3137,54,1
den005d,142,1041,527,1316,658,56.0416,50,1
den005d,143,1139,606,1350,715,59.0416,53,1
den005d,144,1073,628,2010,1041,56.2843,49,1
den005d,145,1070,649,1261,759,58.1127,50,1
den005d,146,1160,626,1874,997,57.6985,50,1
den005d,147,996,714,1540,759,57.799,53,1
den005d,148,836,408,1426,716,58.9706,55,1
den005d,149,1062,676,1732,789,56.5269,48,1
den005d,150,424,428,1348,539,60.7279,58,1
den005d,151,518,375,1444,684,63.3137,61,1
den005d,152,1561,361,1920,612,60.6274,55,1
den005d,153,638,345,1202,541,60.1421,57,1
den005d,154,757,333,1286,567,62.6274,57,1
den005d,155,619,601,1617,872,63.1421,60,1
den005d,156,513,437,1595,719,60.7279,58,1
den005d,157,474,340,1780,812,63.3137,61,1
den005d,158,645,401,2527,903,62.7279,60,1
den005d,159,1139,461,1717,1057,62.6274,57,1
den005d,160,747,586,1959,823,66.2132,61,1
den005d,161,768,371,2318,669,64.9706,61,1
den005d,162,1587,587,2581,927,67.5269,59,1
den005d,163,817,485,1627,709,65.8995,64,1
den005d,164,730,239,1797,750,66.9706,63,1
den005d,165,1085,295,1700,573,65.5563,62,1
den005d,166,1076,478,1745,506,65.2843,58,1
den005d,167,1205,400,2087,813,65.3553,56,1
den005d,168,1009,420,2463,922,64.1421,61,1
den005d,169,280,199,1448,425,67,68,1
den005d,170,1157,558,1700,509,71.5269,63,1
den005d,171,887,273,2042,649,71.799,67,1
den005d,172,983,215,1952,673,69.4558,63,1
den005d,173,511,267,1839,527,71.0711,70,1
den005d,174,787,206,1570,495,70.2132,65,1
den005d,175,653,439,1528,707,68.2843,61,1
den005d,176,777,478,1535,639,68.3848,64,1
den005d,177,1122,491,2282,867,69.9706,66,1
den005d,178,733,318,1831,669,68.4558,62,1
den005d,179,748,463,1368,653,68.8701,62,1
den005d,180,1307,700,1790,681,72.6985,65,1
den005d,181,1054,555,2573,725,74.1421,71,1
den005d,182,999,382,1815,625,74.6274,69,1
den005d,183,799,449,1709,698,73.8995,72,1
den005d,184,998,487,2065,598,74.2132,69,1
den005d,185,597,363,1660,567,72.9706,69,1
den005d,186,567,318,2608,945,73.6274,68,1
den005d,187,1080,488,1853,597,74.2843,67,1
den005d,188,1000,530,1636,682,72.3848,68,1
den005d,189,846,500,2456,781,75.799,71,1
den005d,190,948,470,1817,752,77.3553,68,1
den005d,191,986,606,1740,637,77.4558,71,1
den005d,192,544,279,2389,725,79.4853,78,1
den005d,193,922,240,1628,552,78.9411,70,1
den005d,194,956,634,2008,884,76.9411,68,1
den005d,195,939,567,2059,867,77.0416,71,1
den005d,196,785,327,2015,696,78.4558,72,1
den005d,197,1009,565,1699,721,78.7696,69,1
den005d,198,474,462,1948,793,77.799,73,1
den005d,199,814,431,1791,643,79.6985,72,1
den005d,200,484,269,1589,496,82.4853,81,1
den005d,201,1409,452,2270,689,80.3553,71,1
den005d,202,414,364,1767,657,83.0711,82,1
den005d,203,744,443,2196,478,81.6274,76,1
den005d,204,948,514,1970,512,83.3137,81,1
den005d,205,1698,608,2446,788,82.7696,73,1
den005d,206,967,277,2083,748,80.9706,77,1
den005d,207,599,406,1640,704,80.3137,78,1
den005d,208,973,162,2289,458,83.4558,77,1
den005d,209,1617,615,3039,922,80.0122,69,1
den005d,210,1075,312,2170,609,84.1127,76,1
den005d,211,1200,475,1901,668,85.0122,74,1
den005d,212,1038,198,2111,644,84.9411,76,1
den005d,213,789,191,1871,660,84.5563,81,1
den005d,214,1138,635,2924,721,84.4558,78,1
den005d,215,960,237,2934,368,84.1421,81,1
den005d,216,555,207,2141,535,87.0711,86,1
den005d,217,473,204,1728,365,87.4853,86,1
den005d,218,444,393,1829,605,86.8995,85,1
den005d,219,398,187,1978,633,84.6274,79,1
den005d,220,890,318,2262,554,90.0416,84,1
den005d,221,893,139,1877,413,89.2132,84,1
den005d,222,600,463,2625,803,89.2132,84,1
den005d,223,1377,479,2346,562,90.598,80,1
den005d,224,1280,481,2287,536,88.5269,80,1
den005d,225,1228,264,3556,857,89.799,85,1
den005d,226,672,450,3359,884,91.8995,90,1
den005d,227,754,302,2149,645,90.1127,82,1
den005d,228,741,210,1900,513,90.3137,88,1
den005d,229,666,322,1830,647,88.2132,83,1
den005d,230,1386,621,2564,1017,92.6985,85,1
den005d,231,771,361,1834,560,93.8701,87,1
den005d,232,1464,462,2844,642,94.7696,85,1
den005d,233,1704,382,3096,852,95.2843,88,1
den005d,234,889,318,3039,738,94.9706,91,1
den005d,235,997,417,2200,885,95.3848,91,1
den005d,236,1395,294,2522,670,92.598,82,1
den005d,237,1177,607,2696,735,93.0416,87,1
den005d,238,947,442,1793,625,94.4558,88,1
den005d,239,793,283,2326,696,95.9706,92,1
den005d,240,755,412,2014,562,98.8995,97,1
den005d,241,1000,375,2004,609,98.2548,86,1
den005d,242,851,311,2058,532,98.6274,93,1
den005d,243,1061,202,2520,480,96.799,92,1
den005d,244,1537,202,2335,495,97.9411,89,1
den005d,245,1446,784,2785,944,98.5269,90,1
den005d,246,1537,381,3118,789,97.799,93,1
den005d,247,1322,249,2353,685,96.4975,83,1
den005d,248,1209,442,2427,458,98.2548,86,1
den005d,249,1193,640,2664,783,98.0416,92,1
den005d,250,1155,359,2570,522,102.284,95,1
den005d,251,1217,396,2703,417,103.598,93,1
den005d,252,1592,469,2800,723,103.77,94,1
den005d,253,818,498,2953,619,100.657,100,1
den005d,254,1165,385,2622,718,102.627,97,1
den005d,255,1651,635,3240,575,102.456,96,1
den005d,256,1527,730,3014,952,103.385,99,1
den005d,257,1126,371,3086,1028,100.971,97,1
den005d,258,1216,374,2559,760,103.627,98,1
den005d,259,1806,559,2573,639,100.74,86,1
den005d,260,707,278,2395,361,105.971,102,1
den005d,261,1229,366,2602,362,104.184,94,1
den005d,262,892,379,2513,686,105.87,99,1
den005d,263,1217,442,2405,856,105.184,95,1
den005d,264,620,471,3433,895,105.799,101,1
den005d,265,1186,312,2409,477,104.87,98,1
den005d,266,1321,350,2748,866,104.355,95,1
den005d,267,847,342,2568,660,104.698,97,1
den005d,268,990,489,2571,720,106.113,98,1
den005d,269,1310,285,2769,725,107.355,98,1
den005d,270,1820,544,3726,953,109.083,96,1
den005d,271,618,489,3348,752,108.213,103,1
den005d,272,1321,323,2846,725,111.698,104,1
den005d,273,1410,392,2342,644,108.497,95,1
den005d,274,1268,449,3135,762,109.598,99,1
den005d,275,1172,503,2197,587,111.527,103,1
den005d,276,1485,303,2969,609,111.669,99,1
den005d,277,1072,478,2405,485,110.042,104,1
den005d,278,1372,253,2610,480,108.74,94,1
den005d,279,948,364,2863,590,111.698,104,1
den005d,280,1562,210,2668,435,114.941,106,1
den005d,281,1674,654,2905,644,113.912,100,1
den005d,282,1163,168,3514,603,113.042,107,1
den005d,283,1228,529,2463,730,115.456,109,1
den005d,284,1021,278,2994,385,113.627,108,1
den005d,285,1242,219,2558,487,115.497,102,1
den005d,286,929,337,2235,678,113.255,101,1
den005d,287,753,155,1739,472,112.912,99,1
den005d,288,1563,367,2610,574,113.569,98,1
den005d,289,1009,341,2671,654,112.698,105,1
den005d,290,774,340,2230,777,119.87,113,1
den005d,291,1356,363,3141,806,119.598,109,1
den005d,292,1258,478,2636,641,116.698,109,1
den005d,293,850,169,2039,484,116.77,107,1
den005d,294,715,347,2630,617,117.456,111,1
den005d,295,1413,392,2740,615,118.255,106,1
den005d,296,596,468,2801,506,118.799,114,1
den005d,297,1133,237,2024,417,116.113,108,1
den005d,298,1125,301,2973,541,118.326,104,1
den005d,299,1324,366,3368,726,118.255,106,1
den005d,300,1360,360,3055,651,122.042,116,1
den005d,301,1791,406,3000,572,120.426,109,1
den005d,302,482,118,2608,568,122.243,122,1
den005d,303,753,420,2871,793,120.284,113,1
den005d,304,1834,698,3189,966,122.083,109,1
den005d,305,1163,227,2281,465,120.74,106,1
den005d,306,1017,352,2280,424,122.527,114,1
den005d,307,1056,632,3180,732,121.941,113,1
den005d,308,778,207,2534,571,122.326,108,1
den005d,309,1358,255,2997,530,120.355,111,1
den005d,310,1138,505,3161,729,126.87,120,1
den005d,311,753,261,2376,523,125.385,121,1
den005d,312,1501,437,3356,821,127.497,114,1
den005d,313,1119,273,3516,585,125.042,119,1
den005d,314,691,298,3953,794,124.142,121,1
den005d,315,1539,322,2374,503,126.569,111,1
den005d,316,1353,485,3796,678,127.598,117,1
den005d,317,1432,297,2627,554,126.77,117,1
den005d,318,1306,157,2164,295,126.255,114,1
den005d,319,759,169,2831,621,126.912,113,1
den005d,320,2073,440,4241,797,129.841,118,1
den005d,321,963,277,3027,509,129.255,117,1
den005d,322,937,124,2503,558,128.456,122,1
den005d,323,1500,318,2677,409,131.355,122,1
den005d,324,1270,267,3327,738,129.184,119,1
den005d,325,1312,332,2954,704,131.497,118,1
den005d,326,653,174,2078,388,128.355,119,1
den005d,327,1469,485,2394,732,128.468,110,1
den005d,328,618,199,2551,523,130.042,124,1
den005d,329,1396,323,2933,486,130.64,113,1
den005d,330,1118,272,3346,694,133.426,122,1
den005d,331,779,223,3493,407,132.87,126,1
den005d,332,554,331,2467,622,135.657,135,1
den005d,333,1356,651,3125,739,133.213,128,1
den005d,334,1682,465,3458,473,133.912,120,1
den005d,335,1302,444,2504,680,135.882,117,1
den005d,336,775,238,2526,481,133.456,127,1
den005d,337,1129,552,3235,677,132.426,121,1
den005d,338,750,496,2778,769,132.627,127,1
den005d,339,782,384,2988,530,132.456,126,1
den005d,340,770,337,2590,580,137.284,130,1
den005d,341,967,396,2479,498,139.698,132,1
den005d,342,1345,269,3417,590,136.284,129,1
den005d,343,1252,523,2434,565,137.841,126,1
den005d,344,874,208,2744,607,136.598,126,1
den005d,345,871,91,2269,328,136.113,128,1
den005d,346,1208,379,3172,785,136.284,129,1
den005d,347,1018,385,2727,593,137.284,130,1
den005d,348,1074,259,3715,643,136.456,130,1
den005d,349,1844,529,3893,640,138.77,129,1
den005d,350,1421,304,3057,650,140.882,122,1
den005d,351,1005,292,2064,437,140.74,126,1
den005d,352,1610,634,2994,756,143.64,126,1
den005d,353,1561,426,3166,546,142.669,130,1
den005d,354,1651,482,3158,724,142.113,134,1
den005d,355,977,238,2996,415,143.527,135,1
den005d,356,1438,437,3646,525,141.284,134,1
den005d,357,1455,526,3250,678,141.527,133,1
den005d,358,1063,203,3596,712,141.355,132,1
den005d,359,1452,440,2803,655,143.882,125,1
den005d,360,1324,355,3364,682,147.113,139,1
den005d,361,1700,499,4005,793,147.426,136,1
