map,scenid,total,20move,total-src,20move-src,distance,path_size,hLevel
brc502d,131,906,467,1583,962,54.4264,43,1
brc502d,132,723,729,1842,1047,55.4558,49,1
brc502d,133,1326,595,1158,897,52.4558,46,1
brc502d,134,629,553,1362,913,52.2843,45,1
brc502d,135,663,122,1164,545,52.1421,49,1
brc502d,136,519,402,1807,806,54.799,50,1
brc502d,137,1034,452,1713,962,52.0416,46,1
brc502d,138,1244,503,1888,880,52.8406,41,1
brc502d,139,746,411,2321,1173,53.7279,51,1
brc502d,140,840,596,1259,779,56.598,46,1
brc502d,141,796,375,1281,732,59.5563,56,1
brc502d,142,601,640,1824,818,56.3137,54,1
brc502d,143,700,554,1783,927,56.2843,49,1
brc502d,144,725,628,1603,838,59.0416,53,1
brc502d,145,1132,662,1559,730,57.598,47,1
brc502d,146,771,329,1011,603,57.0416,51,1
brc502d,147,729,661,1563,829,57.1127,49,1
brc502d,148,563,441,1052,539,57.2843,50,1
brc502d,149,526,449,1456,626,57.6985,50,1
brc502d,150,714,303,1435,541,61.2843,54,1
brc502d,151,795,293,1508,861,62.1127,54,1
brc502d,152,1065,635,1995,855,62.4975,49,1
brc502d,153,731,645,1644,740,61.4558,55,1
brc502d,154,813,428,1558,674,61.5685,46,1
brc502d,155,557,537,2076,905,63.5563,60,1
brc502d,156,606,386,1618,802,60.5685,45,1
brc502d,157,768,287,1463,689,60.0833,47,1
brc502d,158,1101,484,1391,652,60.7401,46,1
brc502d,159,340,227,1666,777,60.9706,57,1
brc502d,160,379,216,1918,652,65.2426,65,1
brc502d,161,531,556,1829,700,64.9706,61,1
brc502d,162,273,259,1768,570,65.6569,65,1
brc502d,163,492,256,1434,688,64.3259,50,1
brc502d,164,380,381,1735,585,67.2132,62,1
brc502d,165,932,398,1896,805,66.0833,53,1
brc502d,166,1080,571,1376,602,67.3848,63,1
brc502d,167,373,371,1772,823,67.0711,66,1
brc502d,168,472,464,1734,737,67.799,63,1
brc502d,169,791,495,1594,711,66.8112,50,1
brc502d,170,1105,267,1715,835,69.0122,58,1
brc502d,171,540,400,1920,858,68.8995,67,1
brc502d,172,795,561,1932,960,69.2132,64,1
brc502d,173,632,658,1977,750,69.8995,68,1
brc502d,174,515,487,2195,829,68.8284,69,1
brc502d,175,1249,473,1517,813,70.7696,61,1
brc502d,176,280,196,2304,843,68.8284,69,1
brc502d,177,1148,663,1968,896,70.5685,55,1
brc502d,178,1113,131,1411,629,68.9828,53,1
brc502d,179,1014,299,2166,761,70.4558,64,1
brc502d,180,427,440,2006,852,73.9706,70,1
brc502d,181,424,313,1490,603,74.7696,65,1
brc502d,182,523,379,1079,512,72.3553,63,1
brc502d,183,1277,526,1710,791,73.598,63,1
brc502d,184,930,276,2146,704,73.397,57,1
brc502d,185,796,363,2559,897,73.9706,70,1
brc502d,186,353,341,2024,657,75.1421,72,1
brc502d,187,818,365,1268,467,73.7696,64,1
brc502d,188,1348,363,1677,576,73.9411,65,1
brc502d,189,452,349,1474,499,75.5269,67,1
brc502d,190,1322,147,1925,322,78.9828,63,1
brc502d,191,651,575,3038,851,78.6274,73,1
brc502d,192,923,437,1649,548,76.1127,68,1
brc502d,193,1128,455,2656,750,76.8406,65,1
brc502d,194,1018,592,1714,665,76.7401,62,1
brc502d,195,1089,806,2292,853,79.669,67,1
brc502d,196,710,263,2103,684,78.9117,65,1
brc502d,197,785,423,1702,839,79.2254,62,1
brc502d,198,726,241,1974,563,78.598,68,1
brc502d,199,776,546,2379,592,77.9706,74,1
brc502d,200,932,689,2418,609,81.6985,74,1
brc502d,201,1256,544,2504,609,82.3259,68,1
brc502d,202,1818,610,1781,990,80.598,70,1
brc502d,203,1007,293,2086,449,81.4264,70,1
brc502d,204,1241,920,2506,995,81.5269,73,1
brc502d,205,1008,294,1600,583,81.6985,74,1
brc502d,206,1164,306,1547,479,82.8406,71,1
brc502d,207,186,194,2354,647,83.4142,84,1
brc502d,208,129,133,2068,560,80,81,1
brc502d,209,1328,541,2497,826,81.8112,65,1
brc502d,210,939,612,2195,914,85.3259,71,1
brc502d,211,1013,476,2440,573,87.4975,74,1
brc502d,212,1225,679,1770,864,84.7401,70,1
brc502d,213,510,235,1950,516,84.6985,77,1
brc502d,214,1438,372,1867,723,85.2548,73,1
brc502d,215,1317,541,3078,886,87.6985,80,1
brc502d,216,1168,281,2091,543,87.2965,68,1
brc502d,217,950,662,2868,738,86.1127,78,1
