map,scenid,total,20move,total-src,20move-src,distance,path_size,hLevel
lak202d,130,986,630,2010,979,54.1421,51,0
lak202d,131,520,280,2005,855,54.9706,51,0
lak202d,132,694,444,1701,909,54.5269,46,0
lak202d,133,876,506,1925,882,54.4558,48,0
lak202d,134,339,196,1311,573,53.0711,52,0
lak202d,135,998,495,1721,726,53.0416,47,0
lak202d,136,428,230,1349,435,54.7279,52,0
lak202d,137,345,242,2396,882,54.8284,55,0
lak202d,138,783,296,1228,497,55.598,45,0
lak202d,139,722,168,1436,410,53.799,49,0
lak202d,140,604,128,1680,631,57.4853,56,0
lak202d,141,756,488,2098,684,57.1421,54,0
lak202d,142,865,602,1864,769,59.7696,50,0
lak202d,143,692,402,1633,737,59.5563,56,0
lak202d,144,411,306,1003,443,57.0711,56,0
lak202d,145,707,522,2231,964,57.1421,54,0
lak202d,146,512,323,1728,792,57.3137,55,0
lak202d,147,879,284,2006,956,56.3848,52,0
lak202d,148,889,367,1919,719,56.2843,49,0
lak202d,149,752,398,1713,680,57.6274,52,0
lak202d,150,802,380,1755,534,61.6985,54,0
lak202d,151,680,225,1158,473,60.6985,53,0
lak202d,152,914,437,1973,719,63.1421,60,0
lak202d,153,1068,360,1598,600,60.2132,55,0
lak202d,154,877,400,2149,813,61.1127,53,0
lak202d,155,972,633,1799,850,60.5563,57,0
lak202d,156,1001,409,1952,843,60.6274,55,0
lak202d,157,732,456,1827,790,62.6569,62,0
lak202d,158,529,312,2325,757,60.7279,58,0
lak202d,159,700,320,1787,755,61.5269,53,0
lak202d,160,621,163,1925,624,66.9706,63,0
lak202d,161,554,442,3217,706,67.6569,67,0
lak202d,162,629,418,1992,675,66.6985,59,0
lak202d,163,979,356,1955,790,64.1838,54,0
lak202d,164,658,301,1804,734,67.9706,64,0
lak202d,165,544,306,1719,670,65.3848,61,0
lak202d,166,1028,471,2523,576,65.8701,59,0
lak202d,167,680,194,1498,451,66.3553,57,0
lak202d,168,1070,688,1741,867,66.3848,62,0
lak202d,169,641,303,2169,1027,66.7279,64,0
lak202d,170,450,262,2666,642,69.6569,69,0
lak202d,171,837,348,2274,652,70.1421,67,0
lak202d,172,704,516,2077,843,70.7279,68,0
lak202d,173,1240,592,2805,810,71.8701,65,0
lak202d,174,757,285,1806,526,69.0416,63,0
lak202d,175,773,166,1625,619,69.0416,63,0
lak202d,176,1182,696,2352,940,68.1838,58,0
lak202d,177,987,362,1659,560,68.4558,62,0
lak202d,178,953,226,1657,514,70.9411,62,0
lak202d,179,666,214,1829,542,70.6985,63,0
lak202d,180,560,399,1842,490,72.8995,71,0
lak202d,181,932,547,2049,756,74.3848,70,0
lak202d,182,818,220,1466,486,74.8406,63,0
lak202d,183,957,683,1796,548,74.0416,68,0
lak202d,184,1009,429,2448,939,74.6274,69,0
lak202d,185,325,262,1829,483,75.0711,74,0
lak202d,186,502,271,1561,443,73.8995,72,0
lak202d,187,362,216,2181,745,72.2426,72,0
lak202d,188,1037,337,2190,809,74.3259,60,0
lak202d,189,967,400,2298,903,73.6274,68,0
lak202d,190,774,400,2224,518,79.1421,76,0
lak202d,191,938,405,1924,743,76.9117,63,0
lak202d,192,733,217,1838,532,78.9411,70,0
lak202d,193,1204,583,1940,611,77.598,67,0
lak202d,194,841,412,1698,818,79.3259,65,0
lak202d,195,967,341,2029,789,78.0416,72,0
lak202d,196,598,435,2684,563,78.5563,75,0
lak202d,197,523,203,1629,431,76.9706,73,0
lak202d,198,1108,458,2968,1010,77.0122,66,0
lak202d,199,582,228,2427,802,76.7279,74,0
lak202d,200,744,239,1984,558,80.4558,74,0
lak202d,201,1089,403,2520,948,82.0833,69,0
lak202d,202,1360,210,2383,598,82.1838,72,0
lak202d,203,1082,318,3286,879,81.5269,73,0
lak202d,204,717,266,2330,691,81.3553,72,0
lak202d,205,580,194,2196,435,82.5269,74,0
lak202d,206,1023,192,1821,454,83.4975,70,0
lak202d,207,805,373,2662,807,81.3137,79,0
lak202d,208,1038,271,2584,880,81.7696,72,0
lak202d,209,841,478,2805,951,83.799,79,0
lak202d,210,973,310,2366,689,85.2132,80,0
lak202d,211,1013,403,2157,466,85.6985,78,0
lak202d,212,521,308,2443,797,84.5269,76,0
lak202d,213,1042,231,1921,542,85.8112,69,0
lak202d,214,825,319,2203,728,84.9411,76,0
lak202d,215,928,331,2019,635,86.2843,79,0
lak202d,216,1277,257,1795,527,86.9828,71,0
lak202d,217,925,381,1875,434,87.4558,81,0
lak202d,218,959,368,2194,883,86.3259,72,0
lak202d,219,632,527,2301,582,86.3137,84,0
lak202d,220,805,262,1916,521,91.1127,83,0
lak202d,221,1084,270,1648,476,89.5685,74,0
lak202d,222,548,242,2214,431,88.6274,83,0
lak202d,223,824,382,2235,621,88.9706,85,0
lak202d,224,1329,284,2368,482,88.7696,79,0
lak202d,225,874,328,2336,671,91.2548,79,0
lak202d,226,830,172,1928,436,90.799,86,0
lak202d,227,1357,443,1780,488,89.0833,76,0
lak202d,228,1217,490,2523,721,90.2843,83,0
lak202d,229,805,181,1836,424,90.2843,83,0
lak202d,230,540,325,2927,971,93.8284,94,0
lak202d,231,819,283,2860,731,94.799,90,0
lak202d,232,1074,276,2109,376,94.1127,86,0
lak202d,233,602,325,2202,794,93.1421,90,0
lak202d,234,1072,628,2883,1015,95.669,83,0
lak202d,235,1089,476,2281,783,95.0122,84,0
lak202d,236,1130,425,1875,638,94.669,82,0
lak202d,237,671,190,2014,470,95.8701,89,0
lak202d,238,927,268,2813,736,95.1421,92,0
lak202d,239,907,241,1939,402,92.4558,86,0
lak202d,240,495,132,2277,682,99.1127,91,0
lak202d,241,1066,530,3099,525,96.2843,89,0
lak202d,242,842,364,2499,964,99.9828,84,0
lak202d,243,1071,312,3363,925,97.3848,93,0
lak202d,244,1023,387,2581,753,97.6274,92,0
lak202d,245,500,301,2821,765,98.4558,92,0
lak202d,246,759,229,2535,694,97.1838,87,0
lak202d,247,613,276,2561,601,98.8995,97,0
lak202d,248,1244,304,2165,791,99.669,87,0
lak202d,249,1017,312,2552,497,96.2843,89,0
lak202d,250,735,250,1991,438,102.284,95,0
lak202d,251,692,191,2216,404,102.284,95,0
lak202d,252,1296,273,2618,496,103.799,99,0
lak202d,253,1108,338,3439,561,103.042,97,0
lak202d,254,1223,188,2519,830,100.284,93,0
lak202d,255,710,365,2891,536,101.87,95,0
lak202d,256,999,172,1970,392,102.284,95,0
lak202d,257,817,279,2164,437,102.87,96,0
lak202d,258,714,150,1804,574,100.042,94,0
lak202d,259,649,200,1997,436,103.698,96,0
lak202d,260,745,171,2271,415,106.971,103,0
lak202d,261,979,490,2107,432,105.284,98,0
lak202d,262,1298,368,3031,562,104.083,91,0
lak202d,263,936,435,3324,607,106.627,101,0
lak202d,264,1159,165,2794,392,106.456,100,0
lak202d,265,966,429,2919,727,105.314,103,0
lak202d,266,690,394,2821,842,104.213,99,0
lak202d,267,512,333,1554,565,105.385,101,0
lak202d,268,782,216,2330,425,104.385,100,0
lak202d,269,830,224,2767,895,105.698,98,0
lak202d,270,971,326,2889,561,110.213,105,0
lak202d,271,1196,564,2669,761,111.184,101,0
