map,scenid,total,20move,total-src,20move-src,distance,path_size,hLevel
rmtst,127,840,432,2845,946,49.3848,45,0
rmtst,128,1016,780,2896,1383,51.9411,43,0
rmtst,129,581,297,2835,1102,48.4853,47,0
rmtst,130,738,278,1545,589,54.1421,51,0
rmtst,131,442,266,3095,997,54.4853,53,0
rmtst,132,597,312,2547,1071,55.3848,51,0
rmtst,133,961,240,3420,1249,54.5563,51,0
rmtst,134,245,268,3606,1392,53.8995,52,0
rmtst,135,870,603,2669,1278,55.2132,50,0
rmtst,136,662,658,2633,1261,53.799,49,0
rmtst,137,963,404,2033,743,52.598,42,0
rmtst,138,1159,247,3070,982,55.2132,50,0
rmtst,139,1277,626,2568,1229,53.2843,46,0
rmtst,140,866,481,2473,908,57.6274,52,0
rmtst,141,819,748,3295,742,58.3848,54,0
rmtst,142,1321,624,2141,605,58.1127,50,0
rmtst,143,712,366,3181,1125,58.799,54,0
rmtst,144,809,594,2802,966,57.0416,51,0
rmtst,145,559,440,2551,870,57.6274,52,0
rmtst,146,963,398,3232,1186,59.799,55,0
rmtst,147,485,311,2683,799,58.8284,59,0
rmtst,148,1543,589,3218,1331,59.8701,53,0
rmtst,149,694,578,3448,1017,59.1421,56,0
rmtst,150,1403,506,2351,596,62.3553,53,0
rmtst,151,682,207,2704,964,62.799,58,0
rmtst,152,947,435,2314,714,63.8701,57,0
rmtst,153,954,495,2076,766,63.3553,54,0
rmtst,154,648,603,2844,1310,60.7279,58,0
rmtst,155,688,536,3088,1385,60.3137,58,0
rmtst,156,438,210,3209,1132,63.6569,63,0
rmtst,157,1108,524,3139,1350,62.6985,55,0
rmtst,158,934,554,2170,994,63.5269,55,0
rmtst,159,1337,536,2888,1264,61.6985,54,0
rmtst,160,1116,342,3596,1245,67.2132,62,0
rmtst,161,885,583,2599,1070,64.1838,54,0
rmtst,162,1163,531,2441,1025,64.0416,58,0
rmtst,163,895,317,3088,1034,67.1421,64,0
rmtst,164,648,381,3586,1217,66.9411,58,0
rmtst,165,1066,235,2797,957,65.8701,59,0
rmtst,166,1338,246,3141,1114,65.9411,57,0
rmtst,167,733,356,2455,881,64.7279,62,0
rmtst,168,1085,465,3312,1481,65.1838,55,0
rmtst,169,919,457,2248,1145,66.7696,57,0
rmtst,170,1325,656,2594,1024,70.6985,63,0
rmtst,171,732,263,3715,947,68.0711,67,0
rmtst,172,832,289,3475,960,71.6274,66,0
rmtst,173,1172,825,3661,1206,70.4558,64,0
rmtst,174,356,340,3683,1171,68.6569,68,0
rmtst,175,1253,318,2831,1087,69.0416,63,0
rmtst,176,924,473,3038,1143,70.2548,58,0
rmtst,177,1239,588,2800,984,69.1127,61,0
rmtst,178,728,360,2805,1184,71.2843,64,0
rmtst,179,750,309,2450,923,68.3848,64,0
rmtst,180,662,314,3676,1115,72.0711,71,0
rmtst,181,1146,419,2680,943,75.2843,68,0
