map,scenid,total,20move,total-src,20move-src,distance,path_size,hLevel
hrt002d,127,736,455,982,486,48.4853,47,1
hrt002d,128,566,326,888,506,51.2132,46,1
hrt002d,129,774,592,965,594,49.0416,43,1
hrt002d,130,604,336,867,452,52.6274,47,1
hrt002d,131,790,318,1066,321,52.7279,50,1
hrt002d,132,571,360,1002,451,53.3848,49,1
hrt002d,133,643,235,781,340,52.2132,47,1
hrt002d,134,810,461,1028,543,55.6274,50,1
hrt002d,135,550,212,798,403,52.799,48,1
hrt002d,136,884,488,1006,531,52.1421,49,1
hrt002d,137,659,360,1114,465,53.6274,48,1
hrt002d,138,748,504,961,485,55.6274,50,1
hrt002d,139,465,372,881,489,54.9706,51,1
hrt002d,140,475,179,817,433,59.2132,54,1
hrt002d,141,633,286,838,324,57.2132,52,1
hrt002d,142,525,305,841,401,59.0416,53,1
hrt002d,143,474,309,873,392,56.2132,51,1
hrt002d,144,514,274,819,455,56.799,52,1
hrt002d,145,744,445,860,419,57.8701,51,1
hrt002d,146,711,423,965,458,59.4558,53,1
hrt002d,147,605,488,883,442,56.799,52,1
hrt002d,148,661,331,926,480,56.2132,51,1
hrt002d,149,393,187,818,359,59.2132,54,1
hrt002d,150,674,263,862,381,60.0416,54,1
hrt002d,151,650,184,888,399,60.6274,55,1
hrt002d,152,324,179,835,320,60.3848,56,1
hrt002d,153,604,353,923,459,60.6274,55,1
hrt002d,154,516,240,840,361,61.6274,56,1
hrt002d,155,399,180,832,292,61.799,57,1
hrt002d,156,485,193,984,357,62.0416,56,1
hrt002d,157,639,306,962,441,60.6274,55,1
hrt002d,158,558,254,895,414,62.2132,57,1
hrt002d,159,391,174,910,360,60.799,56,1
hrt002d,160,565,286,1033,357,67.4558,61,1
hrt002d,161,611,194,947,362,64.2132,59,1
hrt002d,162,754,281,1115,437,65.6274,60,1
hrt002d,163,457,158,959,336,67.6274,62,1
hrt002d,164,557,233,841,316,65.6274,60,1
hrt002d,165,563,245,931,371,67.6985,60,1
hrt002d,166,680,322,1009,372,67.0416,61,1
hrt002d,167,518,262,922,403,66.6274,61,1
hrt002d,168,676,238,1045,417,66.6274,61,1
hrt002d,169,616,219,998,412,65.4558,59,1
