map,r,cnums,size
lt_undercityserialkiller,32,25,9076
lt_undercityserialkiller,64,7,9076
lt_warehouse,0,5534,5534
lt_warehouse,2,1071,5534
lt_warehouse,4,293,5534
lt_warehouse,8,99,5534
lt_warehouse,16,38,5534
lt_warehouse,32,17,5534
lt_warehouse,64,10,5534
lt_warehouse_n,0,5608,5608
lt_warehouse_n,2,1079,5608
lt_warehouse_n,4,294,5608
lt_warehouse_n,8,98,5608
lt_warehouse_n,16,38,5608
lt_warehouse_n,32,14,5608
lt_warehouse_n,64,7,5608
maze-100-1,0,4999,4999
maze-100-1,2,1787,4999
maze-100-1,4,842,4999
maze-100-1,8,419,4999
maze-100-1,16,203,4999
maze-100-1,32,95,4999
maze-100-1,64,41,4999
maze-400-4,0,127996,127996
maze-400-4,2,24526,127996
maze-400-4,4,7899,127996
maze-400-4,8,3687,127996
maze-400-4,16,1443,127996
maze-400-4,32,607,127996
maze-400-4,64,257,127996
orz000d,0,4057,4057
orz000d,2,762,4057
orz000d,4,185,4057
orz000d,8,64,4057
orz000d,16,23,4057
orz000d,32,7,4057
orz000d,64,3,4057
orz100d,0,99626,99626
orz100d,2,18605,99626
orz100d,4,4451,99626
orz100d,8,1470,99626
orz100d,16,473,99626
orz100d,32,148,99626
orz100d,64,51,99626
orz101d,0,1765,1765
orz101d,2,354,1765
orz101d,4,95,1765
orz101d,8,37,1765
orz101d,16,10,1765
orz101d,32,5,1765
orz101d,64,2,1765
orz102d,0,738,738
orz102d,2,148,738
orz102d,4,41,738
orz102d,8,15,738
orz102d,16,5,738
orz102d,32,3,738
orz102d,64,1,738
orz103d,0,40392,40392
orz103d,2,7977,40392
orz103d,4,2134,40392
orz103d,8,759,40392
orz103d,16,287,40392
orz103d,32,105,40392
orz103d,64,44,40392
orz105d,0,679,679
orz105d,2,143,679
orz105d,4,36,679
orz105d,8,15,679
orz105d,16,7,679
orz105d,32,2,679
orz105d,64,1,679
orz106d,0,335,335
orz106d,2,72,335
orz106d,4,23,335
orz106d,8,9,335
orz106d,16,4,335
orz106d,32,1,335
orz106d,64,1,335
orz107d,0,637,637
orz107d,2,126,637
orz107d,4,35,637
orz107d,8,14,637
orz107d,16,4,637
orz107d,32,2,637
orz107d,64,1,637
orz200d,0,5129,5129
orz200d,2,1083,5129
orz200d,4,291,5129
orz200d,8,104,5129
orz200d,16,41,5129
orz200d,32,15,5129
orz200d,64,5,5129
orz201d,0,745,745
orz201d,2,155,745
orz201d,4,44,745
orz201d,8,19,745
orz201d,16,7,745
orz201d,32,3,745
orz201d,64,1,745
orz203d,0,244,244
orz203d,2,51,244
orz203d,4,15,244
orz203d,8,6,244
orz203d,16,3,244
orz203d,32,1,244
orz203d,64,1,244
orz300d,0,83672,83672
orz300d,2,15667,83672
orz300d,4,3750,83672
orz300d,8,1231,83672
orz300d,16,402,83672
orz300d,32,145,83672
orz300d,64,45,83672
orz301d,0,4529,4529
orz301d,2,929,4529
orz301d,4,259,4529
orz301d,8,94,4529
orz301d,16,33,4529
orz301d,32,14,4529
orz301d,64,5,4529
orz302d,0,5241,5241
orz302d,2,1022,5241
orz302d,4,273,5241
orz302d,8,94,5241
orz302d,16,30,5241
orz302d,32,15,5241
orz302d,64,4,5241
orz303d,0,22009,22009
orz303d,2,4228,22009
orz303d,4,1090,22009
orz303d,8,390,22009
orz303d,16,134,22009
orz303d,32,50,22009
orz303d,64,17,22009
orz304d,0,5341,5341
orz304d,2,1047,5341
orz304d,4,284,5341
orz304d,8,105,5341
orz304d,16,35,5341
orz304d,32,18,5341
orz304d,64,5,5341
orz500d,0,20155,20155
orz500d,2,3806,20155
orz500d,4,929,20155
orz500d,8,315,20155
orz500d,16,109,20155
orz500d,32,41,20155
orz500d,64,21,20155
orz601d,0,1890,1890
orz601d,2,372,1890
orz601d,4,102,1890
orz601d,8,41,1890
orz601d,16,13,1890
orz601d,32,6,1890
orz601d,64,2,1890
orz700d,0,95600,95600
orz700d,2,18075,95600
orz700d,4,4403,95600
orz700d,8,1456,95600
orz700d,16,491,95600
orz700d,32,179,95600
orz700d,64,72,95600
orz701d,0,44408,44408
orz701d,2,8533,44408
orz701d,4,2135,44408
orz701d,8,724,44408
orz701d,16,252,44408
orz701d,32,102,44408
orz701d,64,40,44408
orz702d,0,71328,71328
orz702d,2,13538,71328
orz702d,4,3287,71328
orz702d,8,1090,71328
orz702d,16,365,71328
orz702d,32,134,71328
orz702d,64,53,71328
orz703d,0,75944,75944
orz703d,2,13973,75944
orz703d,4,3352,75944
orz703d,8,1158,75944
orz703d,16,415,75944
orz703d,32,180,75944
orz703d,64,94,75944
orz704d,0,2097,2097
orz704d,2,399,2097
orz704d,4,98,2097
orz704d,8,32,2097
orz704d,16,10,2097
orz704d,32,5,2097
orz704d,64,1,2097
orz800d,0,59689,59689
orz800d,2,10989,59689
orz800d,4,2662,59689
orz800d,8,856,59689
orz800d,16,295,59689
orz800d,32,100,59689
orz800d,64,39,59689
orz900d,0,96603,96603
orz900d,2,18364,96603
orz900d,4,4580,96603
orz900d,8,1555,96603
orz900d,16,542,96603
orz900d,32,197,96603
orz900d,64,80,96603
orz901d,0,43309,43309
orz901d,2,8259,43309
orz901d,4,2050,43309
orz901d,8,664,43309
orz901d,16,237,43309
orz901d,32,89,43309
orz901d,64,37,43309
orz999d,0,43893,43893
orz999d,2,8092,43893
orz999d,4,1954,43893
orz999d,8,624,43893
orz999d,16,217,43893
orz999d,32,67,43893
orz999d,64,28,43893
random-100-33,0,6369,6369
random-100-33,2,1980,6369
random-100-33,4,738,6369
random-100-33,8,281,6369
random-100-33,16,104,6369
random-100-33,32,34,6369
random-100-33,64,10,6369
random-400-33,0,103535,103535
random-400-33,2,32381,103535
