map,i,source,s,h,w,e
orz103d,0,316,4.75692e+06,282546,4689,674247
orz103d,0,38670,4.86322e+06,282385,14966,637104
orz103d,0,10332,4.30625e+06,673823,55630,840196
orz103d,0,1606,4.81409e+06,385673,100826,818180
orz103d,0,18999,4.26424e+06,296122,691,711583
orz103d,0,38891,4.6475e+06,284852,369,700813
orz103d,0,9093,5.66979e+06,293828,102743,644121
orz103d,0,8775,4.26145e+06,281051,101030,626969
orz103d,0,13311,8.1348e+06,476370,2222,826917
orz103d,0,1980,5.28656e+06,281723,306873,668277
orz103d,0,34660,3.71453e+06,297912,88462,607367
orz103d,0,38689,3.61459e+06,277152,12409,608659
orz103d,0,13046,3.82492e+06,300480,40401,633089
orz103d,0,2968,3.96226e+06,268339,13309,593572
orz103d,0,18296,3.39347e+06,294860,33998,606941
orz103d,0,25631,3.58278e+06,274473,114703,603553
orz103d,0,11775,3.44297e+06,310158,1239,679990
orz103d,0,34237,3.50742e+06,268902,29041,589936
orz103d,0,17198,3.63352e+06,267449,16661,584897
orz103d,0,29168,3.25146e+06,269552,5457,586519
orz103d,0,19347,3.22882e+06,319719,14350,669046
orz103d,0,16364,4.29721e+06,268419,364,587608
orz103d,0,498,3.42593e+06,270464,6644,587521
orz103d,0,30934,3.30889e+06,271628,3882,585817
orz103d,0,1186,3.50609e+06,306815,37888,628427
orz103d,0,21275,3.77091e+06,283281,22175,603359
orz103d,0,3767,3.82588e+06,268556,4866,588926
orz103d,0,37614,3.12433e+06,264444,11883,589761
orz103d,0,36411,3.32116e+06,291778,32272,647968
orz103d,0,2880,3.66568e+06,266092,26570,587911
orz103d,0,9686,3.94087e+06,267047,11106,587387
orz103d,0,20802,3.35252e+06,290583,39340,587901
orz103d,0,38248,3.30989e+06,289352,27873,670529
orz103d,0,34821,3.1698e+06,264923,372,721260
orz103d,0,15782,4.54521e+06,302155,26861,657792
orz103d,0,1128,5.43662e+06,281931,12682,630140
orz103d,0,13715,4.87756e+06,283692,10229,669795
orz103d,0,10167,4.57318e+06,303144,18473,630516
orz103d,0,26594,4.0609e+06,289293,9220,625956
orz103d,0,36519,3.73255e+06,294654,85670,659300
orz103d,0,37774,3.86782e+06,296647,11730,659927
orz103d,0,5209,4.15969e+06,304091,20679,659318
orz103d,0,17834,4.17048e+06,299802,10711,653319
orz103d,0,17270,3.82393e+06,302950,2224,678936
orz103d,0,1487,5.05866e+06,345267,84788,782017
orz103d,0,19120,4.16942e+06,285788,33288,741470
orz103d,0,39454,4.00793e+06,361492,6681,942948
orz103d,0,22687,5.19044e+06,466493,23041,643033
orz103d,0,31651,4.63044e+06,288402,44068,628522
orz103d,0,9564,3.98815e+06,305639,8218,646314
orz103d,0,16192,4.25795e+06,283915,24576,629444
orz103d,0,3428,3.82278e+06,282371,9650,628079
orz103d,0,315,3.96453e+06,279858,4686,621279
orz103d,0,26336,4.06506e+06,284855,3257,622728
orz103d,0,15078,4.39777e+06,272041,7233,598060
orz103d,0,11271,3.44818e+06,268238,26147,589156
orz103d,0,15474,3.88463e+06,290125,6582,605638
orz103d,0,27651,3.61824e+06,280082,7385,592624
orz103d,0,17324,5.04683e+06,322094,17256,608828
orz103d,0,35341,3.86292e+06,264798,506410,594321
orz103d,0,39557,3.21584e+06,266176,21029,588809
orz103d,0,26867,3.25602e+06,274243,2193,604867
orz103d,0,4407,3.67176e+06,268716,128456,631192
orz103d,0,31657,3.41952e+06,269930,33652,586013
orz103d,0,40031,3.2531e+06,267505,295,587007
orz103d,0,7114,3.46572e+06,268672,21701,589645
orz103d,0,28516,3.36871e+06,266304,23848,591412
orz103d,0,10595,3.54824e+06,268944,292,588206
orz103d,0,26694,3.42595e+06,263326,105545,635696
orz103d,0,38711,3.5441e+06,266571,8765,588106
orz103d,0,12513,3.71832e+06,281154,10475,601730
orz103d,0,31276,3.62982e+06,282348,28097,656614
orz103d,0,23523,3.64311e+06,289588,49096,596920
