map,i,source,s,h,w,e
Aurora,3,415245,8.29799e+07,3.16554e+06,322648,5.10362e+06
Aurora,3,243901,8.86379e+07,3.40609e+06,25332,5.12867e+06
Aurora,3,7102,9.58014e+07,3.45023e+06,7606,5.889e+06
Aurora,3,474352,8.23367e+07,3.17976e+06,18258,5.10028e+06
Aurora,3,430830,8.88101e+07,3.21679e+06,19635,5.3643e+06
Aurora,3,27482,9.11185e+07,3.18823e+06,107611,5.29786e+06
Aurora,3,374593,8.18764e+07,3.13986e+06,10599,5.03429e+06
Aurora,3,149891,9.98836e+07,3.24125e+06,17198,4.97516e+06
Aurora,3,157569,1.02228e+08,3.18058e+06,5526,5.01768e+06
Aurora,3,75578,9.30717e+07,3.21351e+06,59525,5.234e+06
Aurora,3,190877,1.01699e+08,3.21648e+06,45604,5.10084e+06
Aurora,3,260893,8.84426e+07,3.45774e+06,43200,5.26615e+06
Aurora,3,322187,9.85351e+07,3.33877e+06,45282,5.52836e+06
Aurora,3,89474,9.28908e+07,3.23343e+06,555,5.33629e+06
Aurora,3,312541,9.32625e+07,3.12189e+06,12602,5.13893e+06
Aurora,3,107811,8.78359e+07,3.2222e+06,19561,5.0685e+06
Aurora,3,274433,9.4131e+07,3.17486e+06,16661,5.22118e+06
Aurora,3,255147,9.77261e+07,3.26812e+06,29719,5.19087e+06
Aurora,3,340262,1.00675e+08,3.25693e+06,877,5.23724e+06
Aurora,3,319642,1.0167e+08,3.30565e+06,52768,5.16949e+06
Aurora,3,22363,8.5819e+07,3.23274e+06,73953,5.20862e+06
Aurora,3,151346,1.0269e+08,3.37992e+06,23344,5.76685e+06
Aurora,3,273667,9.87141e+07,3.30502e+06,26300,5.26258e+06
Aurora,3,82206,8.34226e+07,3.19663e+06,88350,5.07761e+06
Aurora,3,118267,9.50012e+07,3.3879e+06,56185,5.13118e+06
Aurora,3,32553,9.54174e+07,3.40493e+06,34116,4.99808e+06
Aurora,3,81528,8.33094e+07,3.13923e+06,129736,5.24962e+06
Aurora,3,459495,7.96228e+07,3.13709e+06,52983,5.16872e+06
Aurora,3,55639,9.5397e+07,3.3152e+06,93292,5.22836e+06
Aurora,3,315987,9.21121e+07,3.13106e+06,7339,5.19294e+06
Aurora,3,222675,1.01458e+08,3.19576e+06,57827,5.15371e+06
Aurora,3,192700,8.99672e+07,3.13332e+06,14311,5.19764e+06
Aurora,3,109117,8.87586e+07,3.25493e+06,71052,5.07182e+06
Aurora,3,447978,8.09781e+07,3.12184e+06,40654,5.19002e+06
Aurora,3,62076,9.4113e+07,3.4202e+06,24761,5.09734e+06
Aurora,3,114167,8.79881e+07,3.37089e+06,65631,5.22342e+06
Aurora,3,151528,9.05352e+07,3.1237e+06,13615,5.00311e+06
Aurora,3,341668,9.72831e+07,3.12509e+06,32553,5.0542e+06
Aurora,3,273690,9.28559e+07,3.37192e+06,7676,5.08903e+06
Aurora,3,201093,9.59485e+07,3.13045e+06,28423,5.103e+06
Aurora,3,381049,9.92772e+07,3.22542e+06,639,5.19299e+06
Aurora,3,233648,9.91725e+07,3.13379e+06,8337,5.14887e+06
Aurora,3,481321,9.30239e+07,3.3671e+06,80703,5.23165e+06
Aurora,3,411726,8.34774e+07,3.32574e+06,121140,5.17787e+06
Aurora,3,413373,9.92858e+07,3.30627e+06,113694,4.97388e+06
Aurora,3,441361,9.48542e+07,3.22276e+06,17748,4.98505e+06
Aurora,3,390175,1.01227e+08,3.31464e+06,27343,4.96567e+06
Aurora,3,187538,9.82896e+07,3.35847e+06,504690,5.07484e+06
Aurora,3,260091,8.54401e+07,3.29613e+06,24408,5.15478e+06
Aurora,3,113553,8.31751e+07,3.16592e+06,12704,5.16824e+06
Aurora,3,348401,9.32223e+07,3.2444e+06,67718,5.13759e+06
Aurora,3,56312,9.00023e+07,3.20513e+06,84381,5.22855e+06
Aurora,3,162660,9.27567e+07,3.26559e+06,7647,5.17572e+06
Aurora,3,130413,9.82931e+07,3.30714e+06,7083,5.20647e+06
Aurora,3,99028,9.17653e+07,3.1259e+06,20570,5.0512e+06
Aurora,3,349293,9.1876e+07,3.29247e+06,24169,5.19237e+06
Aurora,3,24152,9.38267e+07,3.13106e+06,127294,4.99198e+06
Aurora,3,120717,9.78542e+07,3.29865e+06,8300,5.14681e+06
Aurora,3,338360,1.01201e+08,3.15585e+06,17116,4.97623e+06
Aurora,3,202994,9.99488e+07,3.29486e+06,10760,5.03765e+06
Aurora,3,418202,9.17075e+07,3.15435e+06,7076,5.03359e+06
Aurora,3,376684,9.35077e+07,3.80803e+06,26566,5.58981e+06
Aurora,3,341610,9.3754e+07,3.19239e+06,37169,5.0531e+06
Aurora,3,235430,1.01726e+08,3.34936e+06,11580,5.30005e+06
Aurora,3,400975,1.00477e+08,3.35333e+06,18229,5.18074e+06
Aurora,3,265424,1.04863e+08,3.16626e+06,25158,5.15704e+06
Aurora,3,312517,8.24735e+07,3.25893e+06,28409,5.78632e+06
Aurora,3,114949,8.54196e+07,3.23048e+06,10911,5.22401e+06
Aurora,3,107403,9.59016e+07,3.30433e+06,58698,5.16596e+06
Aurora,3,318663,9.58117e+07,3.58081e+06,5775,4.98591e+06
Aurora,3,16248,9.08871e+07,3.18542e+06,19658,5.1043e+06
Aurora,3,75886,1.03144e+08,3.24164e+06,8328,5.11175e+06
Aurora,3,98422,8.92842e+07,3.2585e+06,25406,5.42722e+06
Aurora,3,139840,9.54112e+07,3.1909e+06,37403,5.09021e+06
Aurora,3,338037,9.89663e+07,3.16808e+06,5576,5.30295e+06
Aurora,3,26576,8.7774e+07,3.127e+06,12443,5.2783e+06
Aurora,3,156067,1.00487e+08,3.35098e+06,4325,5.31155e+06
Aurora,3,405287,8.50973e+07,3.21395e+06,12642,5.26012e+06
Aurora,3,420559,8.94075e+07,3.13661e+06,638,5.05355e+06
Aurora,3,329043,9.64011e+07,3.45528e+06,673,4.99302e+06
Aurora,3,403018,9.23081e+07,3.22092e+06,34342,5.07933e+06
Aurora,3,485561,9.63889e+07,3.41436e+06,32818,5.26593e+06
Aurora,3,3100,8.42606e+07,3.51039e+06,2855,5.69566e+06
Aurora,3,52704,8.56722e+07,3.25427e+06,151865,5.05143e+06
Aurora,3,192598,8.93082e+07,3.3256e+06,42714,5.07699e+06
Aurora,3,113411,8.65963e+07,3.23907e+06,17425,5.12187e+06
Aurora,3,15467,9.57695e+07,3.48959e+06,88455,5.19644e+06
Aurora,3,351085,1.08983e+08,4.44746e+06,1165,7.41103e+06
Aurora,3,261902,1.03643e+08,3.14481e+06,7873,5.13416e+06
Aurora,3,205953,1.05351e+08,3.46783e+06,14441,5.01893e+06
Aurora,3,470590,8.6434e+07,3.83205e+06,135555,5.74391e+06
Aurora,3,250475,9.11107e+07,3.2668e+06,14447,5.08164e+06
Aurora,3,27162,9.23737e+07,3.31518e+06,38902,5.0851e+06
Aurora,3,136865,9.76961e+07,3.27953e+06,11432,5.07295e+06
Aurora,3,303399,7.85129e+07,3.23263e+06,9673,5.10874e+06
Aurora,3,194348,8.298e+07,3.33784e+06,33457,4.98639e+06
Aurora,3,169161,9.94469e+07,3.23801e+06,12086,5.16567e+06
Aurora,3,57496,8.48562e+07,3.24076e+06,3646,5.05612e+06
Aurora,3,141517,9.53431e+07,3.234e+06,11824,5.61591e+06
Aurora,3,293202,1.03967e+08,3.14161e+06,19962,5.06331e+06
Aurora,3,197193,1.00899e+08,3.76667e+06,37935,5.77795e+06
Aurora,3,229073,9.09691e+07,3.13191e+06,18977,5.17282e+06
Aurora,3,319192,8.45202e+07,3.13399e+06,8018,5.08338e+06
Aurora,3,235723,8.23967e+07,3.24225e+06,42970,5.12858e+06
Aurora,3,109682,9.79076e+07,3.26854e+06,12250,5.09544e+06
Aurora,3,123908,8.30094e+07,3.53987e+06,11173,5.42318e+06
Aurora,3,444622,9.87202e+07,3.13531e+06,16687,5.22485e+06
Aurora,3,174701,1.01962e+08,3.13948e+06,18479,5.23684e+06
Aurora,3,191964,8.55774e+07,3.18227e+06,20035,5.07036e+06
Aurora,3,108902,9.57006e+07,3.16677e+06,3549,5.4548e+06
Aurora,3,284758,9.95872e+07,3.56109e+06,23792,5.6033e+06
Aurora,3,204010,1.03457e+08,3.36594e+06,302024,4.97034e+06
Aurora,3,488204,9.85463e+07,3.12791e+06,18849,5.00321e+06
Aurora,3,459357,9.72906e+07,3.1007e+06,20599,5.05332e+06
Aurora,3,317181,8.22596e+07,3.14806e+06,58199,5.04314e+06
Aurora,3,289750,9.456e+07,3.22233e+06,14492,5.23925e+06
Aurora,3,47961,9.64842e+07,3.12887e+06,8764,5.11971e+06
Aurora,3,369352,9.29036e+07,3.21527e+06,115144,5.23745e+06
Aurora,3,225550,8.30964e+07,3.13324e+06,38133,5.0308e+06
Aurora,3,28392,9.35743e+07,3.31594e+06,6898,5.07646e+06
Aurora,3,347059,1.03871e+08,3.24405e+06,43378,5.10575e+06
Aurora,3,465795,9.52562e+07,3.19948e+06,19105,5.00024e+06
Aurora,3,141684,1.00587e+08,3.13636e+06,11923,5.09834e+06
Aurora,3,361402,9.8346e+07,3.18687e+06,238822,5.16394e+06
Aurora,3,107356,9.81708e+07,3.17305e+06,5789,4.98799e+06
Aurora,3,313609,1.04147e+08,3.29937e+06,31690,5.11034e+06
Aurora,3,399368,9.96821e+07,3.19249e+06,5201,5.03997e+06
Aurora,3,316852,1.0185e+08,3.40157e+06,1664,4.97208e+06
Aurora,3,92395,9.30217e+07,3.35118e+06,12344,4.97938e+06
Aurora,3,467759,8.34962e+07,3.82502e+06,18407,5.55499e+06
Aurora,3,218170,1.03417e+08,3.26027e+06,17356,5.04694e+06
Aurora,3,109978,8.66089e+07,3.2283e+06,49031,5.18121e+06
Aurora,3,339184,9.29215e+07,3.27954e+06,11719,5.03339e+06
Aurora,3,88450,8.82606e+07,3.30402e+06,228283,5.18752e+06
Aurora,3,389004,9.52814e+07,3.23647e+06,13071,5.05861e+06
Aurora,3,383110,9.53544e+07,3.23728e+06,54317,5.20212e+06
Aurora,3,109823,8.81398e+07,3.19533e+06,37528,5.01346e+06
Aurora,3,467860,8.6963e+07,3.22622e+06,15453,5.17654e+06
Aurora,3,464538,1.01934e+08,3.46601e+06,14578,5.13091e+06
Aurora,3,212742,9.36517e+07,3.50929e+06,29570,5.74662e+06
Aurora,3,94076,8.55842e+07,3.11876e+06,6639,5.1041e+06
Aurora,3,338742,9.46167e+07,3.38897e+06,24296,5.71291e+06
Aurora,3,222662,1.05114e+08,3.18464e+06,77510,5.0207e+06
Aurora,3,366433,9.83514e+07,3.31868e+06,1767,4.97835e+06
Aurora,3,338707,8.79488e+07,3.17434e+06,45629,5.66131e+06
Aurora,3,376856,1.02337e+08,3.15986e+06,196777,5.31213e+06
Aurora,3,47649,8.90155e+07,3.28343e+06,7719,5.22758e+06
Aurora,3,483819,1.00229e+08,3.4105e+06,65902,5.02721e+06
Aurora,3,243616,1.0273e+08,3.37269e+06,16160,5.26366e+06
Aurora,3,230855,1.02029e+08,3.38271e+06,5610,5.31671e+06
Aurora,3,29279,9.14384e+07,3.2571e+06,32769,5.3266e+06
Aurora,3,168481,1.00501e+08,3.50223e+06,11512,5.00633e+06
Aurora,3,448049,8.76968e+07,3.12834e+06,86857,5.18639e+06
Aurora,3,184377,9.57679e+07,3.20334e+06,120937,5.23187e+06
Aurora,3,439141,9.88175e+07,3.12403e+06,19359,4.97364e+06
Aurora,3,278958,9.84899e+07,3.13896e+06,1112,5.21206e+06
Aurora,3,388696,7.90245e+07,3.30897e+06,46236,4.98923e+06
Aurora,3,205689,1.01704e+08,3.3048e+06,11969,5.06318e+06
Aurora,3,45843,9.63884e+07,3.8114e+06,22635,5.90748e+06
Aurora,3,462926,9.96758e+07,3.33763e+06,30765,5.1915e+06
Aurora,3,197593,8.64401e+07,3.14862e+06,15474,5.02746e+06
Aurora,3,414586,9.04681e+07,3.22837e+06,13109,5.12438e+06
Aurora,3,38793,8.0668e+07,3.14875e+06,86037,5.20706e+06
Aurora,3,175296,9.79393e+07,3.28346e+06,17652,5.44398e+06
Aurora,3,441717,8.17828e+07,3.51545e+06,28141,5.96351e+06
Aurora,3,27853,9.83386e+07,3.24019e+06,8578,5.02162e+06
Aurora,3,479203,9.17838e+07,3.20849e+06,8347,5.25076e+06
Aurora,3,395982,9.98067e+07,3.19228e+06,46549,5.06076e+06
Aurora,3,158132,9.38921e+07,3.54272e+06,15790,5.54163e+06
Aurora,3,342673,1.00702e+08,3.16778e+06,33627,5.1467e+06
Aurora,3,267520,1.00442e+08,3.24447e+06,12822,5.18568e+06
Aurora,3,117440,9.28428e+07,3.2818e+06,1111,5.08033e+06
Aurora,3,464073,9.02854e+07,3.10658e+06,61753,5.02861e+06
Aurora,3,391441,9.11859e+07,3.14203e+06,20772,5.41869e+06
Aurora,3,389131,9.68535e+07,3.23314e+06,27065,5.09821e+06
Aurora,3,86316,9.00179e+07,3.17188e+06,124919,4.98695e+06
Aurora,3,356334,9.71609e+07,3.35839e+06,31588,5.00619e+06
Aurora,3,273864,9.65487e+07,3.20827e+06,9519,4.99336e+06
Aurora,3,171064,8.93354e+07,3.40498e+06,719,5.17658e+06
Aurora,3,355713,1.00881e+08,3.36886e+06,68099,5.11422e+06
Aurora,3,66151,9.39435e+07,3.26007e+06,46877,4.97252e+06
Aurora,3,435325,9.87074e+07,3.34223e+06,485,5.32721e+06
Aurora,3,14601,9.71074e+07,3.1051e+06,4858,5.30832e+06
Aurora,3,195954,8.52269e+07,3.18989e+06,23183,5.01765e+06
Aurora,3,101666,9.88519e+07,3.26757e+06,670,4.96939e+06
Aurora,3,269588,1.01861e+08,3.33341e+06,15550,5.10551e+06
Aurora,3,51049,8.25324e+07,3.32749e+06,42344,5.15049e+06
Aurora,3,10691,8.80823e+07,3.12897e+06,559,5.04706e+06
Aurora,3,464358,9.76016e+07,3.18426e+06,9984,5.59153e+06
Aurora,3,306802,8.5362e+07,3.38863e+06,15113,4.97402e+06
Aurora,3,16457,8.98526e+07,3.13193e+06,11077,5.09071e+06
Aurora,3,361296,9.65907e+07,3.21152e+06,17971,5.12125e+06
Aurora,3,227753,1.05116e+08,3.22389e+06,70653,5.20633e+06
Aurora,3,89001,8.85944e+07,3.85124e+06,25100,5.23048e+06
Aurora,3,38250,8.34995e+07,3.40691e+06,10843,5.01029e+06
Aurora,3,333426,9.8047e+07,3.19803e+06,27780,5.40912e+06
Aurora,3,235703,1.02753e+08,3.25565e+06,33603,5.38244e+06
Aurora,3,233060,1.02475e+08,3.35842e+06,81487,5.10626e+06
Aurora,3,107152,8.85425e+07,3.24328e+06,17281,4.96984e+06
Aurora,3,262280,1.04058e+08,3.3038e+06,16939,5.19716e+06
Aurora,3,191951,9.006e+07,3.25731e+06,3161,5.14631e+06
Aurora,3,379991,9.92399e+07,3.17096e+06,5148,5.05945e+06
Aurora,3,131093,9.75536e+07,3.27363e+06,20697,5.80792e+06
Aurora,3,229463,1.00757e+08,3.13532e+06,32480,4.99867e+06
Aurora,3,467777,8.62698e+07,3.28273e+06,5932,4.97982e+06
Aurora,3,376867,9.83965e+07,3.18563e+06,214418,5.08586e+06
Aurora,3,183815,1.01992e+08,3.2972e+06,116944,5.12578e+06
Aurora,3,78344,8.85916e+07,3.29419e+06,2487,5.08917e+06
Aurora,3,293268,1.03593e+08,3.23661e+06,13107,5.02761e+06
Aurora,3,59712,9.68061e+07,3.37535e+06,63783,5.04131e+06
Aurora,3,477628,9.94307e+07,3.11888e+06,18324,4.99122e+06
Aurora,3,371538,8.64414e+07,3.34973e+06,10648,5.16275e+06
Aurora,3,42564,8.86147e+07,3.10089e+06,41039,4.98867e+06
Aurora,3,379900,9.2998e+07,3.23951e+06,34204,5.2551e+06
Aurora,3,166975,1.00789e+08,3.15045e+06,14151,5.21947e+06
Aurora,3,209655,1.02629e+08,3.13759e+06,147187,5.29952e+06
Aurora,3,491894,9.10542e+07,3.39657e+06,107881,5.31838e+06
Aurora,3,38226,8.39803e+07,3.1593e+06,23966,5.8405e+06
Aurora,3,44285,9.33854e+07,3.26145e+06,17579,5.19663e+06
Aurora,3,356554,1.04237e+08,3.3286e+06,33338,5.20773e+06
Aurora,3,397794,1.03199e+08,3.29469e+06,16690,5.00763e+06
Aurora,3,115450,9.79512e+07,3.48447e+06,6538,5.11333e+06
Aurora,3,484611,8.99149e+07,3.20091e+06,11896,5.07799e+06
Aurora,3,105236,9.06369e+07,3.27892e+06,105995,5.30735e+06
Aurora,3,120715,9.17937e+07,3.23687e+06,6726,5.16877e+06
Aurora,3,453518,8.04174e+07,3.30296e+06,1788,5.77622e+06
Aurora,3,327243,9.62816e+07,3.3238e+06,17874,5.1981e+06
Aurora,3,269644,8.28184e+07,3.22198e+06,18493,5.12204e+06
Aurora,3,294963,9.64953e+07,3.46022e+06,12061,5.38492e+06
Aurora,3,392746,1.00306e+08,3.27408e+06,13871,5.12851e+06
Aurora,3,468058,9.99547e+07,3.20557e+06,25010,5.60343e+06
Aurora,3,420428,8.02629e+07,3.2905e+06,22636,5.57811e+06
Aurora,3,484178,8.66842e+07,3.18061e+06,7633,5.14994e+06
Aurora,3,406210,9.66503e+07,3.24008e+06,28937,5.05124e+06
Aurora,3,438814,9.74303e+07,3.15211e+06,22594,5.16454e+06
Aurora,3,272327,9.90215e+07,3.2366e+06,8053,5.25442e+06
Aurora,3,93780,9.66348e+07,3.67601e+06,87674,5.57458e+06
Aurora,3,237889,9.98978e+07,3.37342e+06,1128,5.08557e+06
Aurora,3,11027,8.5594e+07,3.30628e+06,10700,5.11795e+06
Aurora,3,299962,1.00175e+08,3.22413e+06,13570,5.23481e+06
Aurora,3,13771,9.61931e+07,3.24442e+06,25935,5.35118e+06
Aurora,3,375150,1.02057e+08,3.30322e+06,23896,5.22361e+06
Aurora,3,442233,9.75094e+07,3.22413e+06,2706,5.06067e+06
Aurora,3,257623,1.04288e+08,3.19301e+06,533,4.97284e+06
Aurora,3,297400,9.54606e+07,3.31604e+06,120249,5.06962e+06
Aurora,3,2809,8.35103e+07,3.2561e+06,19028,5.20438e+06
Aurora,3,484104,9.27109e+07,3.11454e+06,11164,4.97712e+06
Aurora,3,16995,8.83158e+07,3.37976e+06,31310,5.02164e+06
Aurora,3,458508,9.4394e+07,3.26246e+06,15577,5.09157e+06
Aurora,3,61485,9.8668e+07,3.34633e+06,14517,5.00954e+06
Aurora,3,351794,1.01381e+08,3.48543e+06,97518,6.02742e+06
Aurora,3,311768,9.05564e+07,3.34166e+06,16199,5.23229e+06
Aurora,3,418921,9.07078e+07,3.51426e+06,72355,5.05644e+06
Aurora,3,131870,9.64226e+07,3.40554e+06,16150,5.19022e+06
Aurora,3,397709,9.89449e+07,3.3033e+06,52360,4.97238e+06
Aurora,3,430594,7.99125e+07,3.77422e+06,47183,5.54149e+06
Aurora,3,453737,8.85943e+07,3.37117e+06,7230,5.22536e+06
Aurora,3,303166,1.04432e+08,3.15621e+06,7037,4.97634e+06
Aurora,3,138567,8.76463e+07,3.13053e+06,50722,5.14211e+06
Aurora,3,156083,1.00244e+08,3.20364e+06,11909,5.30426e+06
Aurora,3,348895,8.30245e+07,4.03202e+06,63990,5.59634e+06
Aurora,3,323762,8.13635e+07,3.31229e+06,59721,5.28001e+06
Aurora,3,12627,297877,3.21304e+06,3768,5.23929e+06
Aurora,3,221540,9.69036e+07,3.32019e+06,47387,5.03646e+06
Aurora,3,130667,679610,3.39957e+06,6633,5.13749e+06
Aurora,3,105582,9.10274e+07,3.28003e+06,157766,5.19552e+06
Aurora,4,204299,1.00336e+08,3.34776e+06,63525,5.12536e+06
Aurora,4,489520,8.98304e+07,3.55429e+06,3754,5.62221e+06
Aurora,4,487128,9.52044e+07,3.27358e+06,8381,4.98808e+06
Aurora,4,153546,9.87391e+07,3.32178e+06,5694,5.51865e+06
Aurora,4,70920,9.7418e+07,3.23354e+06,1205,5.18072e+06
Aurora,4,267413,9.09614e+07,3.2272e+06,41527,4.97449e+06
Aurora,4,58145,9.55071e+07,3.42044e+06,36725,5.06041e+06
Aurora,4,69298,653609,3.22189e+06,17317,5.04064e+06
Aurora,4,76537,9.80513e+07,3.28252e+06,68139,5.10471e+06
Aurora,4,272472,1.02455e+08,3.12992e+06,17568,4.97828e+06
Aurora,4,249557,9.97928e+07,3.43298e+06,38392,5.07066e+06
Aurora,4,452049,9.18296e+07,3.25967e+06,15075,5.0794e+06
Aurora,4,333179,9.77717e+07,3.16052e+06,653,5.9977e+06
Aurora,4,261730,8.38768e+07,3.34362e+06,8857,5.13602e+06
Aurora,4,79937,8.05709e+07,3.16421e+06,19729,5.30474e+06
Aurora,4,82470,9.72627e+07,3.29662e+06,110475,5.14601e+06
Aurora,4,193928,9.57531e+07,3.14152e+06,36541,5.03502e+06
Aurora,4,40356,8.86841e+07,3.23769e+06,22030,5.26488e+06
Aurora,4,230620,7.96412e+07,3.27745e+06,61613,4.98014e+06
Aurora,4,174817,9.97276e+07,3.14133e+06,152887,5.0322e+06
Aurora,4,210596,1.00244e+08,3.39506e+06,193492,5.02561e+06
Aurora,4,256864,1.01488e+08,3.87174e+06,100677,5.92736e+06
Aurora,4,119670,8.7204e+07,3.41732e+06,2289,5.98542e+06
Aurora,4,79236,8.75773e+07,3.23433e+06,8823,5.17187e+06
Aurora,4,106637,9.26006e+07,3.20395e+06,1846,5.19757e+06
Aurora,4,150936,8.53594e+07,3.22726e+06,8116,5.04674e+06
Aurora,4,132859,8.44542e+07,3.12345e+06,1884,5.18822e+06
Aurora,4,442207,9.20924e+07,3.25419e+06,26294,5.3338e+06
Aurora,4,390414,8.24503e+07,3.13981e+06,50714,5.02867e+06
Aurora,4,447423,8.87759e+07,3.16344e+06,5237,5.14204e+06
Aurora,4,360956,8.45999e+07,3.13823e+06,22656,5.27144e+06
Aurora,4,70227,7.75624e+07,3.2864e+06,23937,5.11357e+06
Aurora,4,314719,9.61547e+07,3.27535e+06,76028,5.09842e+06
Aurora,4,448004,8.67313e+07,3.33282e+06,12475,5.18901e+06
Aurora,4,107317,9.89681e+07,3.39525e+06,22620,5.2378e+06
Aurora,4,89440,8.88672e+07,3.12147e+06,109263,5.29953e+06
Aurora,4,282530,8.77829e+07,3.30732e+06,9695,5.05808e+06
Aurora,4,8785,8.7887e+07,3.32963e+06,18563,5.02345e+06
Aurora,4,459206,9.19268e+07,3.30564e+06,21107,5.02000e+06
Aurora,4,234740,9.97859e+07,3.20548e+06,199548,5.13825e+06
Aurora,4,360827,9.52563e+07,3.18191e+06,28023,5.02694e+06
Aurora,4,229588,1.0008e+08,3.20946e+06,152227,4.97514e+06
Aurora,4,312427,9.86603e+07,3.30794e+06,667,5.08734e+06
Aurora,4,231219,1.02303e+08,3.425e+06,56604,5.00361e+06
Aurora,4,173100,1.01491e+08,3.26198e+06,701,5.189e+06
Aurora,4,87700,8.59056e+07,3.15489e+06,1802,5.08717e+06
Aurora,4,413174,1.02268e+08,3.22492e+06,3258,5.34033e+06
Aurora,4,410355,9.955e+07,3.35187e+06,6580,5.20078e+06
Aurora,4,114289,8.50738e+07,3.13008e+06,45409,4.98673e+06
Aurora,4,415901,9.83703e+07,3.3425e+06,90563,5.02292e+06
Aurora,4,342526,9.30453e+07,3.25218e+06,18952,5.18146e+06
Aurora,4,340383,1.01123e+08,3.57686e+06,20097,5.59073e+06
Aurora,4,55238,8.54402e+07,3.24981e+06,106869,5.03941e+06
Aurora,4,6789,9.60643e+07,3.17711e+06,8781,5.12767e+06
Aurora,4,256620,9.78591e+07,3.25223e+06,37824,5.28283e+06
Aurora,4,238339,9.86326e+07,3.27355e+06,19456,4.98048e+06
Aurora,4,476455,8.77501e+07,3.31809e+06,22861,5.23366e+06
Aurora,4,340819,9.1813e+07,3.1937e+06,1770,5.15022e+06
Aurora,4,420683,9.54739e+07,3.13532e+06,39653,5.07578e+06
Aurora,4,482626,8.91299e+07,3.13251e+06,10135,5.05272e+06
Aurora,4,220913,1.00946e+08,3.15099e+06,90850,5.03455e+06
Aurora,4,251711,1.01445e+08,3.36821e+06,13953,5.11893e+06
Aurora,4,282717,9.46842e+07,3.17509e+06,671,5.08956e+06
Aurora,4,200827,1.02231e+08,3.27284e+06,18517,5.11903e+06
Aurora,4,290131,1.00735e+08,3.26094e+06,6503,5.31266e+06
Aurora,4,143802,1.02587e+08,3.18576e+06,23015,5.26835e+06
Aurora,4,328049,9.34859e+07,3.12926e+06,8081,5.22967e+06
Aurora,4,386246,8.71975e+07,3.1292e+06,74654,5.10558e+06
Aurora,4,238190,9.00728e+07,3.20237e+06,81378,4.97593e+06
Aurora,4,260086,7.87609e+07,3.17707e+06,32053,5.30986e+06
Aurora,4,265690,8.48474e+07,3.222e+06,27941,5.31628e+06
Aurora,4,101207,8.84372e+07,3.34886e+06,114439,5.07997e+06
Aurora,4,55358,8.55087e+07,3.38463e+06,63177,5.42080e+06
Aurora,4,438912,9.59691e+07,3.36288e+06,10208,5.6099e+06
Aurora,4,358866,9.95432e+07,3.25729e+06,18055,5.28196e+06
Aurora,4,247887,9.88354e+07,3.17422e+06,17861,5.0796e+06
Aurora,4,475544,9.81033e+07,3.20823e+06,14160,5.21081e+06
Aurora,4,490499,8.43501e+07,3.366e+06,48698,5.11993e+06
Aurora,4,417419,9.76116e+07,3.4191e+06,40361,4.97706e+06
Aurora,4,124091,8.55941e+07,3.27938e+06,35655,5.0527e+06
Aurora,4,223891,8.92327e+07,3.14843e+06,811,5.03727e+06
Aurora,4,120990,1.011e+08,3.46718e+06,14765,5.17336e+06
Aurora,4,371846,9.75272e+07,3.3107e+06,28406,5.23396e+06
Aurora,4,483148,9.499e+07,3.13036e+06,15490,5.19177e+06
Aurora,4,182676,9.47142e+07,3.23639e+06,239520,5.10995e+06
Aurora,4,152027,9.43964e+07,3.31767e+06,10953,5.03463e+06
Aurora,4,153840,650685,3.3117e+06,6777,5.18511e+06
Aurora,4,292969,9.60591e+07,3.58422e+06,19597,5.17403e+06
Aurora,4,336970,9.86082e+07,3.24407e+06,46035,5.04374e+06
Aurora,4,107210,8.88707e+07,3.11602e+06,603,5.2878e+06
Aurora,4,393493,1.0342e+08,3.3221e+06,16754,5.3068e+06
Aurora,4,97039,8.89713e+07,3.51963e+06,98313,5.58897e+06
Aurora,4,340936,1.02802e+08,3.33556e+06,52236,5.08671e+06
Aurora,4,412198,9.79643e+07,3.39363e+06,13670,5.03357e+06
Aurora,4,227465,9.47325e+07,3.12621e+06,11299,5.25903e+06
Aurora,4,51858,7.90555e+07,3.25536e+06,75167,5.18327e+06
Aurora,4,320589,9.06858e+07,3.12007e+06,1050,5.08715e+06
Aurora,4,235689,1.02764e+08,3.13224e+06,27676,5.03243e+06
Aurora,4,194956,9.9497e+07,3.32874e+06,361846,5.03768e+06
Aurora,4,172818,1.00391e+08,3.55637e+06,40451,5.05481e+06
Aurora,4,386675,1.00665e+08,3.23001e+06,1667,5.19227e+06
Aurora,4,183006,1.04338e+08,3.14259e+06,95736,5.47612e+06
Aurora,4,137185,9.35681e+07,3.14547e+06,8581,5.04166e+06
Aurora,4,240477,1.04351e+08,3.2713e+06,17235,5.03283e+06
Aurora,4,391446,8.85745e+07,3.23275e+06,23100,4.99279e+06
Aurora,4,161231,9.27154e+07,3.2785e+06,41916,5.72887e+06
Aurora,4,317864,1.03745e+08,3.40109e+06,571,5.47831e+06
Aurora,4,368218,9.74549e+07,3.42016e+06,8567,5.1403e+06
Aurora,4,437533,9.5916e+07,3.26285e+06,19925,5.15315e+06
Aurora,4,163452,9.26785e+07,3.3127e+06,10747,5.11116e+06
Aurora,4,302634,1.03797e+08,3.53895e+06,24103,5.53647e+06
Aurora,4,299977,1.01766e+08,3.14473e+06,10427,5.11155e+06
Aurora,4,416777,1.00941e+08,3.22189e+06,133971,5.56234e+06
