map,hLevel,bytes
brc000d,1,2981716
den200n,2,1835536
brc000d,0,3672760
den200n,3,1839856
den404d,1,9664
arena2,2,1554932
brc100d,0,2209524
den202d,2,16952
brc100d,1,1760972
arena2,3,1559980
den404d,0,11324
den202d,3,16972
arena,3,62816
brc202d,0,2244080
random512-10-0,1,128452976
arena,2,62776
random512-10-0,0,132990992
brc202d,1,1771228
den200n,1,1859972
brc000d,2,2608148
den200n,0,2042600
brc000d,3,2619168
den202d,1,17688
den404d,2,9560
brc100d,3,1661520
arena2,1,1578452
den202d,0,22456
arena2,0,2063868
brc100d,2,1658920
den404d,3,9556
random512-10-0,2,101080520
brc202d,3,1689768
arena,0,99208
brc202d,2,1684812
random512-10-0,3,100816220
arena,1,70932
