map,hLevel,bytes
den504d,0,4360940
lak108d,0,34700
oth000d,1,1182388
den200d,0,5188024
lak105d,0,43032
orz107d,0,85164
den101d,1,67520
hrt001d,1,270312
brc000d,1,8317584
lak405d,0,17294780
den009d,0,167760
lak100c,1,2589664
combat,1,4423144
lgt601d,0,21010648
brc999d,0,10317848
orz303d,0,7225588
ost002d,0,3784064
lak510d,1,1902164
den401d,1,903744
oth999d,0,622780
brc204d,1,2738528
den308d,1,136384
brc000d,0,19540508
orz107d,1,16704
hrt001d,0,1291500
den101d,0,235340
oth000d,0,6792528
lak105d,1,19160
den200d,1,1053524
den504d,1,906196
lak108d,1,7548
den401d,0,3466576
oth999d,1,24916
brc204d,0,10222736
den308d,0,671776
orz303d,1,1911516
ost002d,1,1136008
lak510d,0,6363188
lgt601d,1,5811496
brc999d,1,2277288
lak405d,1,3790580
combat,0,42719220
lak100c,0,15579652
den009d,1,33796
brc503d,0,61499724
ost001d,1,833208
orz300d,1,22989988
orz900d,0,45552064
lak513d,0,15962060
combat2,0,42228628
brc997d,1,3956904
isound1,0,712240
lak302d,1,1246220
lgt602d,1,3572988
hrt201n,0,6511844
hrt002d,0,94436
lak503d,0,5091840
den203d,1,113236
lak106d,1,63336
isound1,1,82296
lgt602d,0,16389664
lak302d,0,4207956
brc997d,0,12390948
combat2,1,4403480
brc503d,1,26501400
ost001d,0,3140948
orz300d,0,80698492
lak513d,1,4451608
orz900d,1,6466248
lak106d,0,391964
den203d,0,379276
lak503d,1,1462980
hrt002d,1,31584
hrt201n,1,1645156
brc201d,1,1717608
den404d,1,9828
lak515d,1,88348
brc505d,1,12277588
den900d,0,1652660
lak304d,0,4269876
den001d,0,6375056
lgt604d,0,5108148
brc100d,0,11185516
orz703d,1,8789384
lak400d,0,20381332
lak110d,0,19952
den998d,1,152288
den600d,1,821464
lak505d,1,1879320
lak201d,1,842368
orz102d,0,138916
lak100d,0,17043208
orz203d,1,4328
ost102d,1,5640
den501d,0,9599556
den011d,0,4617124
brc100d,1,3580556
orz703d,0,57156580
lak110d,1,4756
lak400d,1,4826492
lgt604d,1,914792
den001d,1,930940
lak304d,1,1265120
lak515d,0,535244
den900d,1,220476
brc505d,0,29809952
brc201d,0,7612924
den404d,0,40868
den011d,1,1142580
den501d,1,2772280
lak100d,1,3160596
orz203d,0,24736
ost102d,0,32392
lak201d,0,3907192
orz102d,1,28612
den998d,0,351712
lak505d,0,6018128
den600d,0,3440816
den206d,1,274852
orz800d,1,10288992
lak103d,1,33612
ost101d,0,1019392
orz200d,0,1070520
ost000t,1,25605292
den502d,1,2501012
den012d,1,3533712
lak526d,1,36596
lak506d,0,2980832
lak202d,0,1248668
orz101d,1,94576
lak307d,1,255768
orz700d,0,49613536
lak403d,1,3903392
brc202d,0,17796624
den407d,0,124152
ost004d,1,191984
lak202d,1,268148
orz101d,0,306796
lak526d,0,119644
lak506d,1,813588
ost000t,0,61883356
den012d,0,14392380
den502d,0,18082912
orz800d,0,82889032
lak103d,0,122220
den206d,0,1245196
ost101d,1,124992
orz200d,1,290536
ost004d,0,2132904
brc202d,1,4789216
den407d,1,32876
orz700d,1,12123556
lak403d,0,14823144
lak307d,0,2349100
den200n,1,1136180
orz701d,0,16590988
lak250d,1,286232
brc203d,0,8333628
orz304d,1,306840
ost100d,0,123168436
orz201d,0,108904
rmtst,0,2487168
lak102d,1,19160
den207d,1,36916
den312d,0,451916
lak507d,0,2121272
den602d,0,11496012
orz100d,1,29562884
lak203d,0,828704
orz304d,0,1747480
brc203d,1,2160108
lak250d,0,1364368
orz701d,1,4510676
den200n,0,5433964
orz100d,0,92828648
lak203d,1,203260
den602d,1,3347188
den312d,1,119992
lak507d,1,118796
rmtst,1,533316
ost100d,1,56190124
orz201d,1,25468
den207d,0,151500
lak102d,0,77172
lak504d,1,1160036
den601d,1,1386296
orz103d,0,11214760
lak200d,1,387328
lak101d,0,39364
den204d,0,961940
den500d,0,9563744
den520d,1,3254520
den405d,1,36084
lak519d,1,3816576
brc200d,1,2515808
den901d,0,4280236
rmtst01,0,2489252
brc504d,1,8101556
den408d,1,17160
lak514d,1,951896
hrt201d,1,2804600
den020d,1,147228
lgt605d,0,1362340
den000d,0,39576328
den510d,0,37549424
lgt101d,0,56832
lak401d,0,13122708
lak308d,0,3243056
brc101d,0,11311568
orz702d,1,9735128
den500d,1,2168508
den520d,0,18698788
den204d,1,305028
lak101d,1,6772
orz103d,1,2631964
lak200d,0,2722820
den601d,0,4765184
lak504d,0,4166732
lak401d,1,3187320
lgt101d,1,24848
brc101d,1,2753392
orz702d,0,35303524
lak308d,1,970784
den510d,1,11228864
den020d,0,593640
den000d,1,13802000
lgt605d,1,70500
brc504d,0,21789428
den408d,0,70596
den901d,1,519084
rmtst01,1,532732
hrt201d,0,7760100
lak514d,0,7089364
den405d,0,139168
brc200d,0,7249760
lak519d,0,10833584
orz105d,1,17968
orz601d,1,97952
orz999d,1,3118092
orz500d,0,10651852
lak107d,1,9096
den202d,1,20988
lak512d,0,10093108
orz901d,0,18561624
brc502d,0,2470352
orz301d,1,274564
den403d,0,537828
orz704d,0,910488
ost000a,0,74002048
arena2,1,3932232
lak100n,1,2925956
lgt603d,1,2164940
lak303d,1,1236936
orz000d,0,1113660
den202d,0,107244
lak107d,0,59020
orz500d,1,2036452
orz601d,0,667260
orz999d,0,25210404
orz105d,0,97344
lak303d,0,3696176
arena2,0,15052080
lak100n,0,14424124
lgt603d,0,11197384
orz000d,1,268712
orz704d,1,127200
ost000a,1,31005440
den403d,1,231096
orz901d,1,3424372
lak512d,1,1926500
brc502d,1,460820
orz301d,0,1098480
lak404d,0,9121996
lgt600d,0,12719976
den005d,0,4293484
lak300d,0,8626212
lak511d,1,2567804
orz302d,0,1432224
ost003d,0,4168724
brc501d,1,21737524
den400d,1,6889392
brc300d,0,1030640
lak109d,0,24536
den505d,0,9482216
lgt300d,0,24155884
arena,0,719524
lak104d,0,155388
den201d,0,81528
oth001d,1,1284704
rmtst03,0,2577496
hrt000d,1,25614576
orz106d,0,45616
den400d,0,22714868
lak511d,0,10694136
orz302d,1,222564
ost003d,1,1191840
brc501d,0,55448540
lak300d,1,1569464
den005d,1,1063784
lgt600d,1,2587880
lak404d,1,2682064
hrt000d,0,113941712
orz106d,1,10532
den201d,1,18456
lak104d,1,46824
rmtst03,1,552660
oth001d,0,4104160
lak109d,1,6780
brc300d,1,181116
lgt300d,1,6283336
den505d,1,2099784
arena,1,145680
